url,year,month,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-august-2017.html,2017,AUGUST,2017-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-september-2017.html,2017,SEPTEMBER,2017-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-october-2017.html,2017,OCTOBER,2017-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-november-2017.html,2017,NOVEMBER,2017-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-december-2017.html,2017,DECEMBER,2017-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-january-2018.html,2018,JANUARY,2018-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-february-2018.html,2018,FEBRUARY,2018-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-march-2018.html,2018,MARCH,2018-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-april-2018.html,2018,APRIL,2018-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2018/visa-bulletin-for-may-2018.html,2018,MAY,2018-05-01
